 	11_2014-02-11.11:01:40	11_2014-02-11.11:08:23	12_2014-02-11.11:01:40	13_2014-02-11.11:01:40	14_2014-02-11.11:01:41	15_2014-02-11.11:01:41	16_2014-02-11.11:01:41	17_2014-02-11.11:01:41	18_2014-02-11.11:08:14	19_2014-02-11.11:08:14	20_2014-02-11.11:08:15	21_2014-02-11.11:32:14	22_2014-02-11.11:32:14	23_2014-02-11.11:32:14	24_2014-02-11.11:32:14	25_2014-02-11.11:32:14	26_2014-02-11.11:40:19	27_2014-02-11.11:40:19	28_2014-02-11.11:40:19	29_2014-02-11.11:40:19	30_2014-02-11.11:40:19	31_2014-02-11.11:54:19	32_2014-02-11.11:54:19	33_2014-02-11.11:54:19	34_2014-02-11.11:54:20	35_2014-02-11.11:54:20	36_2014-02-11.11:54:19	38_2014-02-11.12:04:11	39_2014-02-11.12:04:11	40_2014-02-11.12:06:55	41_2014-02-12.11:11:47	42_2014-02-12.11:11:47	43_2014-02-12.11:11:47	44_2014-02-12.11:11:47	45_2014-02-12.11:11:47	46_2014-02-12.11:11:47	47_2014-02-12.11:38:02	49_2014-02-12.11:38:02	50_2014-02-12.11:38:02	51_2014-02-12.11:38:02	52_2014-02-12.11:38:02	53_2014-02-12.11:38:02	54_2014-02-12.11:42:31	55_2014-02-12.11:42:31	56_2014-02-12.11:47:11	57_2014-02-12.11:47:11	58_2014-02-12.11:53:16	59_2014-02-12.11:53:16	60_2014-02-12.11:53:16	61_2014-02-12.11:53:16	
rightthumb1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightthumb0.999	0.0408163	0.0408163	0.265306	0.0816327	0.204082	0.183673	0.0612245	0.204082	0.0204082	0.0612245	0.0612245	0.326531	0.0816327	0.346939	0.102041	0.244898	0.265306	0.408163	0.489796	0.306122	0.55102	0.408163	0.346939	0.510204	0.163265	0.408163	0.265306	0.673469	0.346939	0.285714	0.55102	0.244898	0.204082	0.102041	0.163265	0.204082	0.142857	0.142857	0.0408163	0.163265	0.326531	0.142857	0.530612	0.204082	0.183673	0.22449	0.306122	0.0816327	0.102041	0.0408163	
rightthumb0.9999	0.102041	0.102041	0.346939	0.122449	0.204082	0.265306	0.204082	0.306122	0.0408163	0.0816327	0.142857	0.510204	0.183673	0.44898	0.163265	0.306122	0.326531	0.510204	0.530612	0.44898	0.591837	0.469388	0.387755	0.571429	0.326531	0.489796	0.346939	0.755102	0.44898	0.387755	0.714286	0.285714	0.367347	0.22449	0.204082	0.306122	0.183673	0.163265	0.102041	0.204082	0.44898	0.306122	0.55102	0.265306	0.265306	0.285714	0.428571	0.204082	0.122449	0.102041	
rightthumb0.9	0	0	0.163265	0.0204082	0.0612245	0.0816327	0	0.0408163	0	0	0.0408163	0.122449	0.0612245	0.163265	0.0816327	0.102041	0.102041	0.22449	0.244898	0.122449	0.265306	0.285714	0.244898	0.367347	0.122449	0.326531	0.0612245	0.22449	0.142857	0.0816327	0.183673	0.0816327	0.0816327	0.0408163	0.0204082	0.0816327	0.0408163	0.0204082	0	0.102041	0.0816327	0.0612245	0.244898	0.0408163	0.102041	0.102041	0.0816327	0.0408163	0.0408163	0.0204082	
rightthumb0.99	0.0408163	0.0408163	0.204082	0.0612245	0.122449	0.102041	0.0612245	0.0816327	0.0204082	0	0.0612245	0.22449	0.0612245	0.183673	0.0816327	0.142857	0.163265	0.265306	0.346939	0.204082	0.387755	0.326531	0.285714	0.387755	0.122449	0.326531	0.122449	0.408163	0.22449	0.122449	0.367347	0.122449	0.122449	0.0612245	0.0816327	0.0816327	0.102041	0.0408163	0.0408163	0.142857	0.183673	0.122449	0.428571	0.102041	0.142857	0.102041	0.142857	0.0816327	0.0816327	0.0408163	
rightindex1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightindex0.999	0.0204082	0.0204082	0.0204082	0	0	0	0	0	0	0	0	0.0408163	0.0408163	0	0	0	0.0408163	0.0612245	0	0	0.0612245	0.0204082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
rightindex0.9999	0.0816327	0.0816327	0.0204082	0	0	0	0	0	0.0204082	0	0	0.0612245	0.0816327	0	0	0.0612245	0.0408163	0.102041	0.0408163	0.0204082	0.0612245	0.142857	0	0.0408163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204082	0.0204082	0	0	0	0	0	0	0	0	
rightindex0.9	0	0	0	0	0	0	0	0	0	0	0	0	0.0204082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
rightindex0.99	0	0	0.0204082	0	0	0	0	0	0	0	0	0	0.0204082	0	0	0	0	0.0204082	0	0	0.0204082	0.0204082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
rightmiddle1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightmiddle0.999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204082	0	0	0	0	0	0	0	0	0	0	0.0408163	0	0	0	0	0	0	0	0	0	0	0	0	0	
rightmiddle0.9999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204082	0	0	0	0	0	0.0204082	0	0	0	0	0.0408163	0	0	0	0	0	0	0	0	0	0	0	0	0	
rightmiddle0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
rightmiddle0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204082	0	0	0	0	0	0	0	0	0	0	0	0	0	
